"","x"
"844","35"
"845","36"
"846","25"
"847","26"
"848","30"
"849","35"
"850","40"
"851","35"
"852","30"
"853","29"
"854","34"
"855","26"
"856","30"
"857","39"
"858","26"
"859","35"
"860","28"
"861","40"
"862","31"
"863","35"
"864","30"
"865","36"
"866","29"
"867","31"
"868","31"
"869","33"
"870","35"
"871","28"
"872","36"
"873","40"
"874","30"
"875","33"
"876","22"
"877","40"
"878","38"
"879","12"
"880","40"
"881","26"
"882","31"
"883","27"
"884","12"
"885","25"
"886","31"
"887","29"
"888","36"
"889","31"
"890","30"
"891","35"
"892","30"
"893","35"
"894","38"
"895","14"
"896","36"
"897","35"
"898","33"
"899","27"
"900","26"
"901","30"
"902","30"
"903","38"
"904","26"
"905","33"
"906","30"
"907","30"
"908","40"
"909","37"
"910","30"
"911","38"
"912","35"
"913","12"
"914","36"
"915","36"
"916","29"
"917","25"
"918","40"
"919","28"
"920","40"
"921","37"
"922","25"
"923","40"
"924","15"
"925","37"
"926","25"
"927","29"
"928","33"
"929","31"
"930","32"
"931","12"
"932","31"
"933","36"
"934","33"
"935","27"
"936","40"
"937","40"
"938","40"
"939","33"
"940","25"
"941","31"
"942","24"
"943","33"
"944","40"
"945","25"
"946","37"
"947","40"
"948","28"
"949","40"
"950","24"
"951","25"
"952","40"
"953","12"
"954","40"
"955","37"
"956","36"
"957","38"
"958","27"
"959","12"
"960","25"
"961","33"
"962","36"
"963","26"
"964","31"
"965","36"
"966","28"
"967","38"
"968","40"
"969","26"
"970","25"
"971","30"
"972","24"
"973","36"
"974","31"
"975","13"
"976","33"
"977","28"
"978","40"
"979","25"
"980","40"
"981","36"
"982","31"
"983","33"
"984","22"
"985","22"
"986","14"
"987","33"
"988","30"
"989","40"
"990","12"
"991","24"
"992","33"
"993","31"
"994","22"
"995","36"
"996","28"
"997","37"
"998","28"
"999","33"
"1000","10"
"1001","38"
"1002","36"
"1003","8"
"1004","33"
"1005","36"
"1006","40"
"1007","32"
"1008","40"
"1009","40"
"1010","37"
"1011","24"
"1012","37"
"1013","23"
"1014","30"
"1015","31"
"1016","40"
"1017","40"
"1018","40"
"1019","30"
"1020","40"
"1021","25"
"1022","25"
"1023","22"
"1024","28"
"1025","40"
"1026","21"
"1027","14"
"1028","30"
"1029","37"
"1030","33"
"1031","40"
"1032","31"
"1033","25"
"1034","24"
"1035","37"
"1036","40"
"1037","31"
"1038","30"
"1039","35"
"1040","36"
"1041","35"
"1042","29"
"1043","36"
"1044","27"
"1045","36"
"1046","36"
"1047","28"
"1048","35"
"1049","36"
"1050","35"
"1051","36"
"1052","28"
"1053","35"
"1054","31"
"1055","30"
"1056","30"
"1057","27"
"1058","36"
"1059","33"
"1060","38"
"1061","36"
"1062","36"
"1063","30"
"1064","30"
"1065","27"
"1066","36"
"1067","36"
"1068","30"
"1069","36"
"1070","36"
"1071","30"
"1072","12"
"1073","27"
"1074","30"
"1075","26"
"1076","32"
"1077","30"
"1078","37"
"1079","36"
"1080","33"
"1081","36"
"1082","30"
"1083","27"
