Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,HoxD8,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3
-11,-11,2.380741663,-2.240632178,-3.542748248,-3.881017218,1.757126003,-11,-1.713610238,0.809419052,0.265482412,-2.698522278,-11,-11,-11,-0.760560988,-1.781579658,-11,-11,-11,-3.187832428,-3.871554128,1.103805313,-0.553418688,-2.242240318,-3.150933258,0.536223872,-11,-0.250656538,-11,-0.253011748,-11,-6.271741028,-0.663075018,-0.898029918,-0.178607988,-5.918028208,-11,-2.224527628,-0.345497838,-7.376144618,-11
-11,-3.804461835,-11,-11,-11,-11,-2.030944675,0.805382205,-1.233418285,-11,1.998902295,-0.211447725,-11,-11,-11,-11,-11,-11,-11,-11,-11,-3.678891535,1.624149545,-3.672622385,-2.448064645,-11,-11,-4.413078055,0.876178265,-3.209914675,-11,-11,-8.523507395,-3.448089885,-11,-11,-4.020524655,-11,-11,-1.770513575,-4.981307755,-2.560458185
-11,-11,-11,-5.164542383,-5.445755933,-4.638817213,-1.089764713,-1.755677323,-4.474848753,-4.042609083,1.175066088,-0.001156112,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,0.715131638,-4.142266883,-1.268726183,-6.318299723,-3.694058853,-5.024940663,-1.419655893,-11,-11,-11,-6.360853593,-5.238706413,-11,-4.180205923,-11,-11,-11,-1.482506023,-8.098625033,-4.895656403
-11,-0.51842837,-11,-4.64282331,-11,-11,-2.31056805,-11,-4.06670571,-11,-2.57071982,1.26138483,-11,-11,-11,-4.15967089,-11,-11,-11,-11,-11,-11,-11,-11,-3.98748006,-3.86966047,-11,-11,-11,-11,-11,-11,-11,-11,-11,-7.5449117,-11,-11,-3.84319071,-11,-8.5942048,-3.01308513
-4.842501208,-11,-11,-11,-3.184366428,-5.268866908,-4.031896648,-0.072308517,-4.065616058,-1.480713238,1.209903003,-1.490134158,-11,-11,-3.641057618,-11,-11,-11,-3.678649748,-11,-11,-11,1.069812903,-7.782218188,-1.324194848,-11,-11,-4.606482818,0.113245893,-5.096949238,-11,-11,-5.737599278,-3.581156278,-11,-11,-11,-11,-11,-1.727693658,-11,-11
-4.175196635,-11,0.663614295,-2.973872395,-3.582440015,-3.529749825,-0.158467025,-11,-3.372834205,0.275736635,0.140094485,-0.758505845,-2.882477215,-11,-2.380926255,1.517198365,-3.235905125,-11,-3.853414545,-11,-2.198443855,-4.504152755,-1.060030235,-2.409340055,-1.839042555,-5.266955205,-11,-11,-11,-11,-0.183471665,-5.061302945,-11,-0.979189685,-2.660483635,-0.145772365,-3.852849705,-11,-11,-0.232217535,-8.627746155,-5.033322235
-3.13112793,-11,0.01629085,-1.88801823,-11,-4.48812356,0.60770721,-4.85706936,-2.52423757,2.42108049,-0.07347215,-0.94192628,-11,-11,-0.46611986,-5.5134707,-3.88712543,-11,-11,-11,-3.84535794,-2.56863456,-1.43309327,-2.51574785,-1.09026357,-11,-0.38723358,-11,-11,-11,-0.36648217,-3.85110557,-7.63442571,-2.19193599,-4.39856984,0.71632212,-3.95092555,-11,-5.48030871,0.32510219,-11,-5.15137149
-11,-11,0.73612286,-2.42669786,-4.72063376,-1.5668007,0.51658544,-11,-2.50350475,2.21151805,0.87289407,0.55490439,-3.07245006,-1.92445242,-0.48935208,-0.15856382,-1.63812456,-11,-2.54120374,-11,-3.72481169,-5.22118976,-0.1720956,-1.73155098,-1.58107158,-4.21788413,-0.56099077,-5.66548811,-11,-11,0.52053992,-4.08198501,-5.80136394,-1.22983577,-1.35149807,1.36694284,-4.54445522,-11,-3.37199864,-0.91908357,-8.32465962,-3.73584323
-1.620916815,-11,3.416886225,-0.450442385,-1.814183175,-1.052575055,2.034469155,-4.701456865,-2.172817425,3.608155975,0.859724105,-1.086510655,-11,-3.578109815,-11,-11,-1.243989855,-11,-3.244963285,-11,-11,-3.015135235,2.368256525,0.028368345,0.198473895,-11,0.070653895,-3.989505025,0.311623715,-4.922716205,-11,-11,-4.181196645,0.631314325,0.028874535,-1.353671405,-11,-2.795428215,-0.527555235,0.387184725,-11,-3.720857925
-2.820660075,-11,2.451543225,-4.114040445,-2.337223285,-4.286615875,0.617222665,-3.801114185,-3.135949885,1.619875345,0.168634315,-0.046102065,-2.953204355,-11,-2.026397905,-0.939067135,-2.721736135,-11,-11,-11,-2.385944565,-2.919762995,-0.359724615,-1.031914475,-1.231544685,-5.514365015,-1.271246035,-11,-2.667041335,-5.280870025,-1.146406325,-4.550413975,-6.382795845,-1.986340535,-11,0.163967655,-2.022010775,-11,-3.817046075,-0.527964835,-11,-11
-11,-11,1.116383713,-0.859113628,-11,-5.508062808,-0.491093978,-2.609162948,-2.253868258,2.890827173,-1.655224528,-1.447944208,-11,-11,-11,-11,-0.773983928,-11,-4.167259628,-11,-11,-11,0.903858182,-2.091401948,-1.018894448,-4.929812228,-1.063700858,-11,-11,-11,-4.291096468,-11,-5.827990008,-2.433920548,-11,-6.183386658,-11,-4.843355508,-2.099245788,-1.419666438,-6.672131258,-2.645599228
-4.168703743,-11,-11,-1.622740243,-11,-4.341086663,-0.131968963,0.460780037,-3.284780063,1.928882608,-0.086088003,-1.861975263,-11,-11,-11,-11,-2.479424653,-11,-11,-11,-5.440949053,-4.259093713,1.358783718,-3.073916383,-2.665267003,-5.811252003,-1.755345673,-11,-1.186464473,-11,-11,-11,-4.201363783,-2.107484273,-11,-3.864805123,-4.136274453,-2.460487053,-1.284941973,-0.206235783,-6.899187363,-3.782048183
-1.986716833,-11,3.219297828,0.146894507,-1.818392283,-1.626553063,1.576213578,-4.668571123,-2.098039533,3.294868928,-0.341150513,-0.302273402,-4.846862163,-11,-3.249914903,-2.323128843,-3.130242033,-11,-3.234268683,-11,-3.360523333,-3.754970793,1.568182158,-1.332542163,-1.053005163,-4.337361073,0.568055897,-5.592650323,0.168585307,-6.667427383,-2.248700053,-11,-4.054759903,-1.155173013,-1.043751623,-0.740301853,-1.607095523,-4.837842493,-1.906798413,-1.195715743,-7.845604783,-4.412702573
-11,-11,-11,-3.845474033,-11,-2.684708633,-2.836972753,-0.720381992,-3.854219343,-0.934311353,-0.226194723,-1.998267453,-11,-11,-2.607093223,-11,-11,-11,-1.743560663,-11,-11,-11,1.040494268,-2.771394073,-1.681617493,-11,-11,-11,-11,-11,-11,-4.912462993,-11,-11,-11,-4.278109143,-11,-3.137848593,-4.396020343,-11,-5.589056503,-1.469759813
-6.368975375,-11,2.771529725,-1.991832545,-1.605199695,-2.815901125,2.430437905,-3.705631795,-2.010805135,3.460502985,0.691172245,-0.042696605,-3.594154575,-11,-11,-2.786977045,-11,-11,-11,-11,-3.642823545,-11,1.095495535,-0.810633755,0.204910805,-11,0.546934885,-11,-2.392137065,-11,-1.854844355,-4.204132155,-5.020771515,-0.613636285,-11,-0.692923255,-11,-11,-0.303550195,-2.988502845,-7.592908855,-11
-3.154806213,-11,-11,-3.022375543,-4.583354633,-2.784144283,-1.463374523,-4.715720723,-2.336471453,-3.069809273,1.658986358,0.746480677,-11,-11,-11,-11,-11,-11,-11,-11,-11,-5.359666153,-1.678575283,-2.523923613,-0.846913323,-11,-11,-11,1.145011448,-6.509731893,-11,-11,-7.967884453,-5.000910283,-11,-11,-11,-11,-11,-11,-5.411791043,-2.945159093
-3.809103985,-4.736317515,-0.246727885,-0.959613995,-3.996011995,-3.263882655,0.741802655,-3.330290525,-2.483814955,1.630374465,-0.591920395,-1.782528085,-11,-11,-11,-11,-0.546886645,-11,-3.045149475,-11,-4.776449755,-4.424293675,1.322916855,-4.007535295,-2.038494675,-4.661135005,-11,-5.347532475,-0.451634305,-11,-6.906535365,-11,-4.885912095,-4.245084415,-11,-3.146867935,-5.273976675,-11,-1.251803165,-0.087888445,-9.020859075,-11
-2.338270738,-11,1.421460163,-1.502762418,-3.680026818,-2.425255788,1.994607043,-1.137617768,-2.292009898,2.564188393,-0.690417798,0.331940172,-4.765210728,-11,-4.273557768,-5.535350588,-3.331916038,-11,-1.602010988,-11,-3.968951128,-3.639207328,1.120571713,-11,-4.936467448,-11,-0.961891868,-11,-11,-7.306852508,-4.680973058,-11,-5.003428528,-2.053957068,-11,-3.486028778,-11,-11,-1.216079808,0.195200232,-11,-11
-4.163121768,-11,1.708577453,-4.809214118,-2.683855768,-4.721363098,-0.363041708,-5.506858958,-1.653038728,0.771053332,0.378879582,-0.214573478,-1.931942878,-11,-0.782329208,1.413142863,-3.612314538,-11,-11,-11,-1.233188998,-2.910709938,-2.488875758,-1.034633378,-1.388538308,-3.292930918,-0.341767378,-11,-11,-7.435781408,0.046032782,-2.380695018,-9.509447028,-1.849771348,-4.579434138,0.684166522,-2.456735358,-11,-11,-0.232019638,-11,-11
-2.92754771,-11,3.65560124,-0.44642797,-3.2308241,-2.83951527,0.64293548,-5.02213793,-2.00149582,2.50841683,-0.31466229,-0.73731233,-11,-5.48698497,-11,-11,-0.53208192,-11,-11,-11,-3.83197399,-2.23029899,0.15452309,-1.93452845,-1.30466468,-4.22921813,-0.40835408,-11,-0.81920869,-11,-2.47303749,-4.58963466,-5.31493468,-0.95566456,-2.09243658,-0.52426325,-2.61312993,-11,-3.14315277,-1.47766971,-8.65606532,-11
-11,1.047140823,-11,-5.693315508,-11,-11,-2.646776268,-11,-2.978681188,-11,-1.531134768,1.638079663,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-2.926702448,-11,-11,-11,-11,-4.366524598,-5.954264558,-11,-11,-8.648224368,-11,-11,-4.125831198,-11,-11,-4.726849418,-11,-7.309802288,-2.924719688
-11,-11,-1.578497803,-0.406191013,-11,-2.430303803,0.772410697,-0.119950673,-1.764668063,3.434418868,0.722627687,-0.778598653,-11,-11,-11,-3.119676893,-0.963144623,-11,-3.740528943,-11,-4.575366693,-11,2.006932678,-0.777417423,-1.462108293,-4.457282843,-0.738153043,-11,-0.903458583,-11,-11,-11,-4.580299423,-3.679529513,-2.594546553,-3.942507913,-4.131983103,-2.635075963,-1.506583743,0.999221507,-11,-11
-11,1.048209995,-11,-4.027710965,-11,-11,-0.469672975,-11,-11,-11,-0.265980665,-6.251069885,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-3.964810365,-5.147421005,-2.644289845,-11,-11,-11,-2.698802025,-7.541160375,-11,-11,-11,-11,-2.009192835,-11,-11,-11,-11,-11,-11,-11
-2.07204018,-11,1.84721669,-4.30378031,-4.68920991,-6.36668799,-0.46859563,-4.67654696,-2.1757671,0.68990557,0.92718803,-0.66863832,-4.6308468,-11,-1.42016617,-3.23657236,-2.7459918,-11,-11,-11,-3.70910405,-3.72376811,-1.60710211,-1.199559,-1.72987536,-4.46930699,0.05232087,-11,-4.67566391,-11,-1.15907152,-3.48739992,-6.86069095,-2.39807852,-2.89814389,-0.61514992,-1.46143432,-11,-5.08203895,-1.55587859,-11,-11
-11,-11,-2.486380275,-3.908122095,-11,-5.242993415,0.761685935,-1.549658335,-1.531249395,1.807414265,-1.050332055,-1.810547615,-11,-11,-11,-2.845230295,-1.299439225,-11,-11,-11,-11,-11,2.241820335,-2.305370775,-2.569509085,-5.657054285,-11,-11,-2.398312345,-11,-3.282846925,-11,-4.048978795,-1.792414585,-11,-11,-11,-3.649092605,-1.147808365,0.319825695,-5.894717915,-1.216663805
-11,-11,-11,-2.476524278,-11,-5.552013758,-0.776368738,0.029785942,-5.392621638,-0.006834628,-0.756663358,-1.173899868,-11,-11,-11,-11,-11,-11,-1.367267398,-11,-11,-11,1.591836003,0.064421442,-3.190233568,-11,-11,-11,-3.883562728,-11,-11,-11,-11,-11,-11,-11,-11,-11,-1.575259498,0.403810802,-6.172747468,-3.248130608
-11,-11,-11,-3.864908315,-11,-7.201891885,-0.998365935,-0.128359495,-2.599735645,-3.350962235,0.298660445,-1.333216535,-11,-11,-11,-11,-2.545961925,-11,-11,-11,-11,-5.018961955,0.419702035,-3.975699585,-0.591098835,-9.253260685,-11,-11,0.074337875,-11,-11,-11,-5.855924935,-11,-3.546600345,-11,-11,-4.829514785,-11,-0.077711095,-6.801465295,-3.898893305
-11,-11,-11,-2.605662218,-11,-4.262719878,0.098917222,-1.001153088,-2.531331018,-0.967695128,1.138630083,-0.357022438,-11,-11,-11,-11,-2.816611858,-11,-11,-11,-11,-11,2.323847983,-4.194379438,-0.274036617,-11,-11,-11,-1.057045978,-11,-11,-11,-5.912297138,-3.160630838,-11,-5.810723428,-11,-11,-2.933668868,0.578078252,-6.181450628,-4.565792708
-2.060965483,-11,-11,-1.202023633,-3.354756493,-3.967848443,0.484823527,-0.101186433,-1.827889563,-0.020361533,1.347573068,-0.730024423,-11,-11,-11,-11,-5.686176133,-11,-3.334926063,-11,-11,-11,1.741526578,-1.440449413,-1.942758143,-11,-1.934609613,-3.329529843,0.460538387,-11,-8.057464803,-11,-5.510706573,-2.702029473,-11,-5.448999443,-11,-4.089879273,-2.576623153,0.298003177,-4.500842473,-2.881305283
-3.912176463,-11,-6.966337913,-1.783914023,-4.184631963,-2.560150893,0.926764408,-2.292840803,-1.795000013,2.606462768,0.102583808,-2.220238343,-11,-11,-11,-2.298079373,-1.366179973,-11,-1.621335123,-11,-11,-11,1.168476138,-2.349270463,-1.428050663,-11,-0.120629712,-3.158890463,0.811391968,-11,-3.044993213,-6.224545353,-5.363978643,-1.643686383,-11,-3.676098523,-11,-11,-1.127813503,-1.040413003,-5.555703333,-3.296480463
-11,-11,-2.576868265,-2.846562595,-11,-5.671278905,-0.971403495,0.297014465,-2.599106435,0.597766185,-0.497666035,-3.398263695,-11,-11,-11,-11,-2.189681235,-11,-3.382713475,-11,-11,-11,1.075765815,-1.217921485,-1.913607655,-11,-11,-11,-11,-11,-11,-11,-7.143754685,-3.540028915,-11,-5.708552705,-11,-11,-2.117766845,0.906722705,-6.571893165,-11
-1.728215395,-11,4.087190175,0.299952755,-1.195399475,-1.843806025,2.547202515,-1.125596255,-1.300924615,3.342551165,0.049032915,-1.715728255,-11,-11,-1.590159835,-2.408301645,-3.089696375,-11,-2.982903665,-11,-3.581076475,-2.147517365,1.769996655,-0.759273655,-0.866405905,-11,0.764736535,-11,-0.455239375,-11,-3.848118535,-6.224470235,-3.827232855,-0.440190525,-0.773566855,-1.183393425,-2.812937325,-11,-1.106295035,0.060946945,-11,-4.165973545
-1.525315428,-11,3.615518063,0.299766202,-3.367231798,-3.796935118,1.510754833,-0.911711678,-1.547521838,3.275256643,0.423392432,0.637765233,-11,-5.801926498,-0.946330378,-11,0.213541012,-11,-11,-11,-2.323934988,-11,1.599436603,-1.025890128,-3.408420408,-4.473468628,0.682644213,-11,0.697739603,-4.236698768,-0.555877518,-4.699089528,-2.622174108,-0.134499258,0.648661803,0.523204992,-1.298010588,-11,-2.367851778,1.217698313,-11,-11
-3.672100093,-11,2.880861278,-1.928821173,-3.934877743,-2.451057703,1.624952078,-11,-4.752266913,1.993685768,-0.523720923,-2.649634353,-11,-11,-1.998046783,-11,-11,-11,-4.036486143,-11,-11,-4.304762983,0.881753457,-1.136786563,-3.319116573,-2.754504333,-1.022956433,-11,-1.311457803,-7.355060933,-1.818559703,-5.461553773,-3.827737133,0.047001457,-1.135211633,-1.184657063,-0.945773333,-11,-11,-0.376738753,-11,-3.570514423
-3.800262625,-11,2.302239955,-0.532118545,-3.947159955,-2.773835175,1.876993265,-1.897401965,-0.895429485,3.481386515,1.005065215,-1.224147165,-11,-11,-11,-11,-1.561231015,-11,-11,-11,-4.434758005,-11,2.214919785,-1.155271625,-1.681390735,-3.394156925,-1.034503885,-1.800120925,-0.523163785,-11,-2.208792115,-4.619333085,-4.074481475,-0.018542785,-11,-3.043142845,-4.302605155,-3.151779585,-0.354782705,-0.242946815,-5.937551785,-11
-4.01622369,-11,2.12456053,0.02613198,-0.9123802,-2.33653649,2.38708801,-2.38874449,-2.00877749,2.24214301,-0.70803689,-1.89257343,-2.66526081,-11,-4.054915,-4.41596984,-3.4053902,-11,-11,-11,-2.60303178,-4.01507095,0.95010601,-1.10824036,-2.75975204,-11,0.33653323,-4.84731257,-2.25477251,-11,-2.4355681,-11,-5.87207904,-2.05015111,-11,-0.5805218,-2.48616706,-11,-2.85554155,0.545894,-7.65556594,-2.80457568
-3.558231708,-11,-11,0.583162502,-1.626509928,-1.430834168,2.059450783,-0.286444147,-2.354744228,3.568356563,0.748568642,-0.951209348,-11,-11,-11,-11,-0.525321838,-11,-1.596659698,-11,-4.859994588,-4.392607128,1.762950683,-0.901989248,-2.649119028,-11,1.287876483,-11,-0.646959468,-11,-2.592322928,-11,-4.175788308,-1.139301828,-11,-3.094060768,-11,-4.139641518,-1.911072178,-0.408959198,-11,-3.741706498
-2.451549153,-11,-0.627921193,-1.197082123,-3.686545783,-3.329044543,1.202988558,-3.534897213,-2.102081463,2.624486478,-0.026287012,-0.629117043,-2.307116573,-11,-1.570669313,-2.711173143,-11,-11,-11,-11,-2.101359683,-4.323068143,-0.460877033,-3.871510083,-1.283313753,-11,-0.070707542,-11,-11,-6.002881173,-0.826939703,-6.698783713,-5.108791683,-1.680863153,-2.255934593,0.683579908,-5.320844783,-11,-3.889958123,-0.643709492,-11,-5.226304223
-3.441460918,-11,0.621758172,-3.158393148,-11,-3.912943218,0.310269442,-11,-3.226770938,-0.031969808,-0.485221218,-1.757195018,-2.413103358,-11,-0.784556208,1.493430043,-3.784250968,-11,-4.033838248,-11,-2.520481638,-3.616615718,-2.123795378,-1.405665898,-0.882255988,-5.616984428,-1.329761438,-11,-11,-4.411106468,-0.767337618,-3.694787278,-8.659341568,-5.127542868,-2.437766738,0.608064702,-4.299376508,-11,-5.535245218,-1.587915068,-11,-11
-11,0.633219388,-11,-3.083178973,-11,-11,0.492981838,-11,-3.165259953,-11,-1.447288413,0.356998338,-11,-11,-11,-11,-11,-11,-11,-11,-4.435582843,-11,-11,-3.146337363,-0.781105422,-11,-11,-11,-2.384711853,-11,-11,-11,-11,-11,-11,-2.361101313,-11,-1.676567353,-11,-11,-11,-2.687327463
-4.45118083,-11,-11,-2.4334603,-3.7535227,-5.37763069,-1.90917637,-0.30129215,-2.13686902,0.20012554,1.39616578,0.03868948,-11,-11,-11,-11,-2.18096808,-11,-11,-11,-11,-11,2.65996149,-11,-2.03086715,-11,-2.46561947,-11,-0.12369385,-4.59827367,-11,-11,-3.91657007,-4.24374247,-11,-11,-11,-11,-2.15049008,0.64560297,-5.32311938,-3.90827482
-11,-11,-4.652498313,-0.598756252,-3.106581693,-4.415464783,0.377688688,-3.839044703,-2.006306343,2.173405938,0.764223188,-1.197041443,-11,-11,-11,-2.850917513,-2.082322823,-11,-11,-11,-11,-11,0.535868198,-2.241182783,-3.163867653,-11,-2.954716653,-11,-0.206403672,-11,-2.716436533,-11,-5.472335313,-4.717178773,-11,-2.983317223,-11,-4.077971353,-1.495272483,-1.128033113,-6.400289863,-2.144832883
-11,-11,-11,-11,-11,-11,-2.139780298,0.332761063,-3.408187498,-11,1.762306213,-1.495188748,-11,-11,-11,-2.230333158,-11,-11,-11,-11,-11,-11,1.240113103,-3.221769008,-1.167965028,-4.482578908,-11,-11,1.010966313,-11,-3.054312838,-11,-7.014327198,-11,-11,-5.637499548,-11,-11,-11,-11,-7.512715368,-11
-2.530581723,-11,1.686476028,-2.181524743,-11,-11,2.457172258,-0.999237203,-4.414154683,0.865319358,0.052411737,-1.134094743,-4.298987653,-3.597316433,-2.209520033,-11,-3.517393733,-11,-11,-11,-1.722881703,-3.367414863,-1.334718483,-1.496959463,-11,-11,1.500246348,-11,-3.240303843,-11,-1.104114933,-4.309798993,-8.100027923,-2.080691063,-3.430474823,0.362624998,0.617736998,-11,-7.345369443,0.077375998,-11,-4.442762343
-1.234389855,-11,4.842596055,0.816571995,-0.593768825,-2.674443335,0.111179125,-3.427653735,-1.491779165,3.663762885,-2.450336965,-2.087493425,-11,-11,-3.474447065,-11,-0.698378495,-11,-3.175729205,-11,-3.804215635,-1.216192065,1.691928615,-0.777430905,-1.338330475,-11,0.884874935,-2.241348505,-1.957610845,-11,-11,-11,-4.075720735,0.282182995,-1.157629855,-1.073687295,-0.713161615,-11,-0.805728015,-1.314527125,-11,-11
-2.499335518,-11,4.368261913,0.644371533,-3.479658028,-2.326137948,0.832955733,-3.617657158,-1.576740648,2.289800223,-0.443398287,-2.602133218,-11,-11,-11,-11,-1.749069958,-11,-2.207879348,-11,-3.929102698,-3.843129288,1.255389203,-1.746002368,-1.668203438,-4.781826738,0.080438023,-3.995010968,-1.087669238,-5.942062678,-11,-11,-5.448497698,-1.381868878,-2.715245538,-2.885632968,-2.664630628,-2.496676688,-1.558255878,-1.697352688,-11,-4.302360938
-3.862415518,-11,1.643131463,-3.071127928,-11,-6.320002978,1.118985943,-1.713467758,-2.315084628,1.483715033,0.681804433,-0.816119167,-1.613403978,-11,-0.356605557,-0.015867437,-1.276258828,-11,-3.322547068,-11,-1.246772548,-2.653221008,-1.565971698,-1.970429248,-2.986723958,-9.184207368,0.220708973,-11,-11,-11,0.565000083,-4.033903198,-11,-0.955992407,-4.511092568,0.081597443,-1.404991118,-11,-3.873268388,-0.394853537,-11,-4.474764148
-2.49958999,-11,2.17516855,0.57489121,-2.27284164,-1.01564815,2.24555963,-2.21907122,-1.8372026,3.17383538,0.27036418,-1.30749496,-11,-11,-11,-4.40425996,-2.14422329,-11,-11,-11,-5.09713106,-3.33651112,2.07243492,-0.73864206,-0.71916865,-5.54685089,-1.17918007,-11,-1.60253073,-11,-11,-11,-4.19621251,-0.68227782,-5.00288692,-2.35398504,-4.0315862,-4.35313291,-2.17742064,-2.11340821,-6.30037846,-4.32452071
-1.749372155,-11,0.183218925,-0.506969385,-4.834693305,-1.602287565,2.036706125,-0.186678415,-2.200825925,2.756743935,-0.294732525,-1.213780425,-11,-11,-11,-11,-0.533343835,-11,-5.626193935,-11,-11,-11,1.703495445,-2.439569275,-2.346022485,-11,-0.232006545,-4.802704985,-1.050813285,-11,-11,-5.038215955,-5.184316255,-1.280319305,-11,-3.426083555,-4.262698145,-3.447781475,-1.538176605,1.699013495,-7.385566105,-11
-2.437473833,-11,1.533104008,-0.036789863,-1.321414773,-1.929677773,1.560051378,-1.526224423,-1.001420543,2.634070538,0.770323058,0.846409738,-3.337959933,-4.018578213,-1.410693903,-1.486982563,-11,-11,-2.022443863,-11,-1.214295373,-4.333861903,0.455603718,-0.056098412,-1.810727283,-3.668938723,1.695101168,-11,-0.571480143,-11,-0.708108043,-3.189392913,-3.903667853,-0.862873552,-11,1.243427378,-0.831064043,-11,-11,1.008781048,-5.942566553,-3.386984363
